Inconsistencies Report
Generated: 2026-07-08 21:58:41

Dependent Inconsistencies:
  None found.

Independent Inconsistencies:
  ESU10102 | ESU10103 | Corr=0.00 | Count=802 | 26.7%
  ESU10102 | ESU10104 | Corr=0.01 | Count=842 | 28.1%
  ESU10102 | ESU10106 | Corr=0.02 | Count=789 | 26.3%
  ESU10102 | ESU10107 | Corr=-0.02 | Count=782 | 26.1%
  ESU10102 | ESU10109 | Corr=-0.01 | Count=799 | 26.6%
  ESU10102 | ESU10110 | Corr=0.00 | Count=828 | 27.6%
  ESU10102 | SSU10102 | Corr=-0.02 | Count=783 | 26.1%
  ESU10102 | SSU10103 | Corr=-0.05 | Count=817 | 27.2%
  ESU10102 | SSU10105 | Corr=-0.00 | Count=851 | 28.4%
  ESU10102 | SSU10106 | Corr=-0.01 | Count=824 | 27.5%
  ESU10102 | SSU10108 | Corr=0.00 | Count=799 | 26.6%
  ESU10102 | SSU10109 | Corr=0.00 | Count=792 | 26.4%
  ESU10102 | CSU10102 | Corr=-0.03 | Count=793 | 26.4%
  ESU10102 | CSU10103 | Corr=0.00 | Count=824 | 27.5%
  ESU10102 | CSU10105 | Corr=0.01 | Count=827 | 27.6%
  ESU10102 | CSU10106 | Corr=0.00 | Count=816 | 27.2%
  ESU10102 | CSU10108 | Corr=0.01 | Count=836 | 27.9%
  ESU10102 | CSU10109 | Corr=0.01 | Count=828 | 27.6%
  ESU10102 | GNT10102 | Corr=-0.03 | Count=801 | 26.7%
  ESU10102 | GNT10103 | Corr=-0.00 | Count=829 | 27.6%
  ESU10102 | GNT10105 | Corr=-0.02 | Count=793 | 26.4%
  ESU10102 | GNT10106 | Corr=-0.00 | Count=814 | 27.1%
  ESU10102 | CGS10102 | Corr=-0.00 | Count=822 | 27.4%
  ESU10102 | CGS10103 | Corr=0.00 | Count=824 | 27.5%
  ESU10102 | CGS10105 | Corr=-0.01 | Count=818 | 27.3%
  ESU10102 | CGS10106 | Corr=-0.02 | Count=775 | 25.8%
  ESU10102 | CGS10108 | Corr=0.00 | Count=849 | 28.3%
  ESU10102 | CGS10109 | Corr=-0.02 | Count=811 | 27.0%
  ESU10102 | GRC10102 | Corr=0.01 | Count=829 | 27.6%
  ESU10102 | GRC10103 | Corr=-0.01 | Count=803 | 26.8%
  ESU10102 | GRC10104 | Corr=0.01 | Count=797 | 26.6%
  ESU10102 | GRC10106 | Corr=-0.04 | Count=788 | 26.3%
