CSR10000,CEM10000,ORH10000,CRM10000,ITM10000,CIM10000,CPM10000,QSL10000,BIM10000,BPR10000,BIH10000,BEV10000,CHG10000,CBC10000,RTN10000,CII10000,CCM10000,CSP10000,CFS10000,CUST_001
52.93,64.71,70.27,53.63,52.79,64.05,66.11,54.79,58.68,56.47,56.79,58.68,71.95,58.32,69.47,50.95,50.53,64.79,65.95,60.1
53.4,59.29,59.13,65.95,62.11,54.32,66.11,52.32,62.21,58.32,63.32,56.74,61,62.05,54.32,50.68,58.84,72.63,64.95,59.88
53.4,71.86,55.87,59,60.89,60.42,52.74,62.74,54.42,64.42,53.74,50.89,65.47,56.79,65.26,57.42,55.79,57.89,59.89,58.89
55.4,55.07,67.2,61.05,55.53,52.26,53.11,54.89,63.16,59.21,59.58,60.05,57.21,67.95,60.32,72.32,66.74,57.11,59.53,59.88
57.27,57.71,53.73,63.84,58.89,66.11,68,62.42,53.79,57.47,53.74,60.32,62.37,61.42,47.53,69,59.79,55.95,54.68,59.16
64.13,58.07,59.4,61.11,57.42,55.79,63.21,60.47,61.32,61.68,59.47,51.37,58.05,56.63,55.74,61.21,63.58,55.95,58.58,59.11
55.53,56.86,59.47,62.11,53.79,61.74,47.53,49.42,53.89,62.68,48.42,63.53,56.63,55.84,68.11,56.68,71.63,65.21,66.11,58.69
62.67,44.86,59.47,59.63,63.74,58.42,49.79,68.37,59.47,59,47.32,55.21,56.95,62.11,58.37,57.74,55,63.58,58.68,57.91
64.53,59.14,60.53,61.16,55.79,61.63,52.53,57.21,56.05,70.74,61.21,43.11,55.58,60.11,58.89,57.89,55.68,59.53,56.53,58.31
59.07,50,55.07,61.58,55.53,49.63,63.89,58.11,64.58,58.21,61.47,63.95,61.74,57.32,60.32,55.32,62.58,68.63,58,59.21
65.6,56.14,58.4,51.21,61.11,56.79,60.05,60.63,54.89,58,56.68,66.32,59.16,53.42,60.11,50.21,62.37,65.63,59.63,58.76
59.13,63.29,68.07,72.05,63.63,59.42,56.53,67.37,61.47,53.89,56.42,68.68,58.42,52.74,60.84,55.53,59.47,61.37,54.68,60.68
49.8,58.5,59.33,56.26,64.16,47.05,64.16,68.11,68.26,68.37,55.21,62.16,52.37,54.68,63.58,62.11,54.05,62.63,70.05,60.04
48.87,58.93,65.67,60.32,59.79,58.63,63.26,51.16,59.63,59.95,59.68,52.37,56.68,58.79,63.42,55.74,56.16,64.89,67.89,59.04
47.6,59.07,61.73,63.53,55.37,53.53,67.84,62.21,63.32,66.42,66.32,60.58,60.21,63.11,58.42,58.79,58.58,61.16,59.16,60.36
54.33,52.93,62.87,58.26,55.37,64.11,61.58,62.74,55,63.42,65.05,64,56.68,60.26,57.53,64.63,55.37,61.53,59.79,59.76
56.53,67.86,49.27,51.47,61.89,57.63,69.47,56.11,61.21,66.58,57.26,62.63,64.32,62.84,57.84,68.26,47.37,59,57.16,59.72
61.33,60.79,57.8,68.11,57.95,72.11,56.63,63.32,61.21,55.68,67.79,49.74,57.58,59.32,64.26,54.63,61.32,58.74,56,60.23
49,61.29,50.2,57.37,65.37,58.05,60.05,62.16,54.16,60.95,58,65.21,66.89,65.58,51.47,64.68,67.26,55.26,58.95,59.57
55.13,71.14,55.93,59.89,50.53,65.79,58.05,64.47,53.68,59.42,63.53,56.95,63.74,63.53,57.47,64.16,58.58,54.11,64.16,60.01
67.8,60.43,57.27,59.63,60.68,57.58,64.63,59.05,63.26,52.68,63.11,64.47,63.42,54.79,63.74,62.37,57.79,58.68,63.26,60.77
63.87,63.71,61.87,57.47,54.42,58.32,64.47,67.53,57.89,51.68,62.11,60.53,59.53,55.63,64.79,65.79,54.74,48.21,57.89,59.5
63.47,60.29,62.27,60.16,55.89,61.53,63.26,64.89,64.68,53.58,61.68,52.95,67.21,70.11,59.16,59.58,63.47,50.37,55.68,60.54
49.53,63.07,64.67,57.89,55.63,69.47,56.58,55.53,56,64,65.89,48.95,51.84,55,57.74,54.84,53.68,56.47,55.11,57.47
61,50.07,54,54.84,61.42,62.95,54.32,69.16,67.84,48.84,57.47,68.58,52.11,68,64.32,54.95,64.47,59.05,53.68,59.32
64.13,62.43,45.93,55.53,50.32,64.68,56.74,66.53,45,60.05,67.58,57.74,54.53,66.53,55.84,60.05,64.42,63.74,57.74,58.92
55.53,56.14,68.6,57.47,53.63,59.89,47.47,57.74,66.21,57,57,58.05,61.47,59.42,56.42,64.32,60.74,66.16,72.37,59.77
60.53,70.14,57.87,53.16,58.95,67.89,61.11,58.37,57.74,61.74,55.53,69.74,63.11,55.11,65.32,55.21,49,57.26,66.21,60.21
60.13,60.07,57.33,59.05,64.74,64.74,59.11,62.32,63.42,71.79,56.21,62.58,65.89,54.63,65,48.47,50.58,60.37,55,60.08
60.4,49.64,62.87,52,61.53,58.68,63.32,58.58,52.95,67.63,68.68,58.63,52.11,61.11,69.58,61.95,52.42,56.63,48.58,58.8
63.27,56.36,54.8,52.58,61.74,61.53,57.47,59.47,54.89,56.89,60.74,59.32,68.05,67,60.89,62.37,60.58,57.84,64.63,60.02
57.67,58.36,58.8,60.89,55.21,56.68,57.32,50.58,58.79,59.53,54.05,54.26,55.11,61.58,55.79,57.47,54.58,50.68,54,56.39
71.4,60.71,56.73,60.95,67.37,58,57.79,53.05,60.47,61.84,64.47,65.74,61.89,54.42,55.58,53.47,57.58,62.32,63.21,60.37
58.33,57.36,70.33,53.89,51.53,58.26,53.68,56.63,61.32,61.11,69.47,59.26,52.21,52.74,63.05,60.68,59.26,60.95,67.68,59.36
64.93,55.93,63.2,66.68,62.05,54.79,52.68,55.37,56.89,60.37,59.05,54.84,54.16,63.47,61.63,65.32,60.42,57.26,62.21,59.54
74.2,55.14,60.33,55.58,55.58,54.16,58.26,67.47,61.26,52.95,57.53,61.16,66.32,55.79,59.37,56.11,59.74,59.79,63.84,59.71
57.73,54.07,51.4,55.84,58.42,68.16,51.79,53.63,61.74,63.11,62.63,71.11,67.16,57.68,56.21,55.32,58.95,52.42,52.89,58.43
72.27,58.57,58.6,59.37,57.37,55.74,62.32,56.74,52.68,59,56.37,54.32,54.05,66.53,55.58,56.95,53.47,65.68,59.68,58.7
69.67,57.36,54,66.37,53.32,64.05,54.11,54.95,55.26,55.42,60.89,62.53,58.79,71,64.95,48.68,57.37,52.32,52.11,58.59
56.6,58.57,53.87,63.58,64.11,67.37,60.21,61.95,59.47,47.74,54.21,66.95,58.32,60.74,57.47,64.63,61.11,64.89,61.05,60.15
58,68.43,66.27,63.89,57,55.63,66.16,52.63,56.74,67.21,60.32,68.05,58.89,62.74,55.74,67.95,55.11,56.21,59.53,60.87
53.67,64.07,47.27,65.42,59,71.16,48.11,58.74,61.16,59.37,59.05,62.74,66.16,59.37,56.89,66.11,55.74,65.11,61.84,60.05
53.47,58.43,48.87,56.84,61.32,63.63,60.11,58.05,67.58,63.05,65.58,56.53,62.68,66.21,61.16,56.05,67.16,63.63,61.89,60.64
66.67,53,57.33,55,54.21,68.32,66.21,57.32,50.21,63.47,69.37,61.74,57.26,65.42,57.42,62.47,60.58,56.89,65.16,60.42
60.33,68.21,64.6,58.26,59.05,56.47,61.74,57.21,52.53,57.21,68.21,56,51.53,56.84,58.42,56.74,63.47,57.21,51.84,58.73
68.53,66.79,69.93,58.89,55.68,67.95,56.95,62.63,65.58,55.89,62.68,58.53,69.26,46.11,70.11,58.63,63.74,56,54.47,61.49
66,51.71,65.53,54.63,55.37,63.11,57.37,57.26,61.74,60.74,57.68,56.58,63.63,60.37,59.89,61.68,50.53,63.32,54.32,59.02
55.27,64.64,51.2,60.58,65.47,61.89,52.95,55.42,64.26,51.05,57.68,61.47,58.11,48,51.79,60.89,63.47,58.95,59.84,58.05
62.07,53,60.13,65.95,63.47,59.47,61.47,53.74,55.79,60.84,54.84,62.26,69.05,53.74,64.53,53.11,66.26,56.05,65.53,60.07
59.93,71.36,66.4,66.74,74.58,63.16,63.11,50.89,65.89,67.47,58.16,59.16,66.68,56.84,63.58,68.42,57.32,68.16,62.32,63.69
68.53,50.43,56.6,67,60.84,66.74,50.74,55.79,61.32,49.26,64.47,52.37,63.26,63.47,66.11,56.42,64.26,65.74,58.16,60.08
57.13,57.36,63.73,55.53,57.63,56.37,60.16,57.84,48.84,57.05,55.37,62.74,56.58,62.68,59.53,55.21,58.05,55.74,56.32,57.57
60.2,48.86,59.47,60.21,60.47,68.95,60.79,67.84,57.21,59.58,56.68,64,68.05,59.32,45.68,62.63,63,52.95,57.37,59.65
48.73,45.36,63.07,57.37,62.37,61.42,61.11,56,66.58,54.42,57.79,58.42,60.53,62.11,62.84,68.05,61.16,65.68,62.32,59.75
