ESU10000,SSU10000,CSU10000,GNT10000,CGS10000,GRC10000,ERM10000,AUD10000,POL10000,REG10000,ETI10000,CGV10000,IGV10000,CPI10000,ESRC_001
74,78.33,78.33,76.75,80.83,80.78,82.67,82.67,82.67,80.83,80.83,80.83,80.83,80.83,80.09
90.44,89.83,88,87.25,88,85.72,87,83.17,86,84.17,85.17,81.33,84,86,86.15
83.33,82.17,88.67,84.5,88.33,83.33,88.83,86.33,86.83,82.83,82.17,84.33,89.17,85.5,85.45
88,82.17,86.67,86.25,88.67,87.78,91.17,85.17,87.5,87,86.33,84.33,83.17,85.17,86.38
84.78,88.33,85.33,88.25,85,85.89,88,87.33,86.5,89,84.17,84,90.17,88.67,86.82
84.72,89.83,89.33,86.25,88.33,91.11,80.5,86.33,88.67,84,83.67,86.5,85.83,81,86.15
86.28,89.17,93.17,84.75,86.83,88.33,82.17,82.67,92.17,86,80.67,88.17,91,82.67,86.72
83.78,83.33,84.17,90.25,87.17,88.28,87.17,87.83,82.33,85.67,91,85.67,86.33,86.5,86.39
87.33,91,85.17,84.75,85.33,85.5,84.17,85.5,85.17,85.67,88.33,86.33,82.33,83.17,85.7
86.11,87.17,90.33,88.5,91.5,86.11,87.17,88,88.67,84.83,86.5,83.5,88,85.5,87.28
84.11,86,88.5,87.75,86.17,86.44,87.17,87.83,89.5,85.17,90.17,88.33,83.83,88,87.07
83.17,90.5,86.67,92.5,88.33,87.94,81.83,89,84,81.17,92,84.17,87.17,86.33,86.77
86,89.5,84.83,83.25,85.17,84.22,89.17,87,92.5,85.33,87.17,84.17,89.5,86.33,86.72
90.89,81.83,86.17,85.25,88.33,86.72,80.67,82.83,81.17,86.67,88.5,86.5,85.17,90.33,85.79
86,85.5,85.5,89,92.67,85.67,94.67,89.83,84.17,83.83,87.33,81.5,88,88.5,87.3
89.11,86.5,85.33,82.5,85.17,85.44,86,84.83,79,82.83,87.17,84,90,85.33,85.23
84.17,91,86.33,85.25,88.83,88.61,88,87.33,89,89.67,90.5,86,86.67,83.5,87.49
87.11,86.67,88.5,84.75,83.83,82.28,84,86.33,86,83.17,84.17,85.5,86.5,86.33,85.37
86.28,88.83,84.33,89.25,88.83,85.61,85.33,87.83,91,81.5,84.83,84,87.83,84.17,86.4
83.28,89.67,90,87.5,86,85.78,87.83,81.33,87.83,82.33,91.83,85.5,88.83,93.33,87.22
81.78,88.5,81.17,87,84.83,86.56,87.83,85.33,89.83,87.67,90.83,89.83,85.5,92.83,87.11
84.28,90.17,85.33,86.5,86.5,88.11,87,86.5,89.83,83.33,87.83,89.67,89.33,87.5,87.28
87.89,86.83,90.17,92.25,88.33,90.28,85.83,86.67,84.83,88.67,91.17,86.17,85,88,88.01
88,89.83,83.5,85.5,86,84.22,89.33,87.67,86.83,83.33,89.17,85.33,84.67,88.67,86.58
84.67,82.83,86.83,81,89.67,84.22,93.83,89.5,83.17,91.83,84.83,89.67,79.83,87.83,86.41
85.56,88,87.67,81.5,93.5,85.11,89.33,88.67,85.17,85,81.67,86.83,86.83,87,86.56
84.33,85.33,86.17,93.5,87.33,87.28,88.33,89.83,87.83,90.33,87.33,87.5,88,89.17,88.02
84.56,85.83,82.17,84.5,81.83,84.44,87.33,88.83,86.5,86.5,87.67,90.67,88,86,86.06
83.83,89.33,91.33,85.25,87.17,88.22,83.5,84.67,82.5,87.5,87,87.5,85.83,84.5,86.3
86.61,86.5,87.67,90.5,88,88.39,90.67,83.33,88,91.83,85.83,90.5,88.83,86.83,88.11
86.67,87,84.67,85.5,84.67,91.56,85.67,88,81.83,87.5,90.83,87.67,80.83,91.17,86.68
85.28,90,83.5,84.75,82.83,90,87.17,86.83,90.33,87.83,85.83,84.33,83.83,80.83,85.95
90.22,88.17,84.5,86,83.33,85.56,83.33,83.17,83.67,83.83,87.5,85.17,87,87,85.6
82.78,86.17,84.83,90.75,84.67,84.22,84.33,84.5,85,86.33,86.67,87.33,83.67,84,85.38
86.61,86.5,87.67,81.25,87.67,85.61,89.17,86.5,81,82,89.17,83.5,87.67,86.83,85.8
83.39,85.17,85,87.75,87.83,87.11,83.33,87.5,92.33,89.5,82.67,84.67,87.67,84.83,86.34
82.44,86,90.5,91,84.83,89.06,87.17,81.83,91,91,87.17,83,86.17,85.67,86.92
89.17,91.83,86.17,86.5,88.17,90.28,84.17,85.5,87.5,84.5,90.5,87.83,89,88.5,87.83
87.72,81.33,83.33,88,89.33,87.17,88,86,85.17,85.5,87.83,91.5,84.83,88.17,86.71
91,89.17,88.33,85.25,87,86.94,84.33,81.67,86,88,87.5,86.33,84.67,87,86.66
82.94,88.67,84.5,85.25,87.33,87.11,90.33,87.67,83.33,79.17,81.17,88.17,89,89,85.97
82.67,88.17,88.83,86.5,89.5,85.61,86,85.33,86.5,85,85,94.83,91.17,89.17,87.45
87.67,85.17,90.5,88.5,82.83,86.22,88.83,79.17,93.5,89.17,89,87.83,86.83,89.33,87.47
88.39,90,88,89.75,82.33,87.72,83.5,87.67,83,90.17,88.17,82.33,88,88.33,86.95
84.11,82.33,88.5,90,83.67,82.22,91.33,87.33,88,84.33,88.33,88,85,89.67,86.63
86.83,84.67,89,89.75,87,86.33,81.67,86.83,89.17,85.33,86.83,88.83,85,84.5,86.55
84.61,89.5,86,79.25,82,87.5,84.67,82,84.5,86.67,79.67,83.67,87.17,90.17,84.81
88.94,85.17,84.83,88.75,87.33,84.56,87,87.5,87.17,88.67,83.67,90,86.33,85.67,86.83
84.11,89.83,88.17,86.75,86.5,86.94,85.5,88,85,87.83,92.17,92.83,83.33,84.33,87.24
83.5,90,84.83,87.5,86.33,89.17,87.67,84.33,85.5,85.17,87.83,86.67,88.17,92.83,87.11
84.06,84.5,87.83,85.75,87.67,88.67,88.33,90.83,87.5,84.5,87.17,83.17,89.83,88,86.99
89.22,89.67,83.17,84.25,88.67,85.39,86.33,89.17,87.5,90.5,88.5,81.67,90.33,87.67,87.29
84.67,86.67,82.83,83.25,85.83,88.33,83.83,86.17,88.5,87.17,87,86,87,86.83,86.01
84.72,87.17,89.33,84.25,89.17,85.06,88,81.83,84.83,82.5,86.5,87,87.33,84,85.84
85.78,83.5,91.67,83.75,80.83,88.22,85.33,80.83,82.17,88,88,84.67,86.5,87.67,85.49
87.11,90.5,82.5,84.75,91,88.39,91.17,88.33,87.5,88.33,85.67,85.5,87.5,82.5,87.2
83.67,88.33,92.83,83.5,88.33,82.5,86.5,84.5,87.5,81.83,84.33,82.5,92,82.5,85.77
86.17,83,85.67,87,88.5,90.44,91.17,85,83.83,87.83,79.33,85.17,82.17,85.5,85.77
90.61,90,84.33,91.25,87.67,88.61,83,81.17,86.83,84.33,88.83,83.5,87.83,86.83,86.77
85.56,85.17,89.33,81.75,87,85.28,87.67,84.5,80.5,86.33,88.67,88.67,89.17,86.67,86.16
86.83,87.33,86.67,89.75,91.5,84.06,87.17,86.33,82.5,91.83,88.17,84.17,90.5,88.83,87.55
86.56,89.17,82.83,86.25,82.17,79.5,90.5,84.5,87,90,88.17,88,84.33,88.5,86.25
88.11,88.67,86.17,90,87.67,85.39,89,84.67,85.67,82.83,82.17,80.67,80.33,89.83,85.8
81.67,86.67,83.83,87.5,92.5,85,91.67,88.5,85.33,85.33,85.5,86.17,87.17,83.67,86.46
85.44,86.67,84.83,86.5,83.67,86.61,85,88.67,85.5,91.17,83.67,81.67,87.83,86.83,86
83.22,87.83,90.83,87.75,81.83,88.28,88.67,83.83,84.33,89.5,85.83,84.17,87,83.5,86.18
84.28,86.83,84.17,85.25,84.17,88.78,87.17,88.5,88.83,85.83,86.5,82.33,87.33,80.33,85.74
83.56,85.33,84.83,86.25,85.67,82.89,87.5,86.17,85.67,87.17,86.17,87.33,84.5,82.17,85.37
89.06,88,84.17,79.75,88.83,89.22,88.33,89.33,91.33,88,85.17,81.67,88.17,86.83,86.99
85.94,85.17,90.67,90.75,83.5,83.39,88,86.33,92.67,87.67,86.33,85,86.83,82,86.73
91.5,89.17,87,84.25,86.17,88.22,87.5,87.67,86.5,84.33,86.83,90.67,82.67,89.83,87.31
86.28,85.83,81.33,85.25,83.67,81.67,81.33,92.17,91.33,88.17,90.33,83.17,82.83,88,85.81
87.5,90.5,81.83,88.25,88.83,92.11,87.5,82.17,88,86.83,87.67,86.33,87.83,84.67,87.14
86.72,88.67,84,81,91.33,84.39,85.83,91.5,86.83,86.83,83.67,81.67,88.17,84.67,86.09
89.5,81.33,80.67,82,83,86.94,86.67,83.67,83.67,87.67,93.67,89.83,87.83,87,85.96
