DDD10000,LCP10000,RTS10000,CIP10000,IOP10000,PRCY_001
87.25,84.83,84.17,86.8,83.33,85.28
86.92,86.0,89.33,86.67,84.5,86.68
87.33,86.92,87.67,88.84,85.5,87.25
85.5,88.25,85.17,90.27,85.83,87.0
86.83,89.17,84.0,87.64,87.67,87.06
88.42,88.08,88.33,88.91,90.83,88.92
88.0,90.75,90.17,87.18,87.0,88.62
88.5,85.92,85.5,85.78,88.17,86.77
89.83,86.08,85.5,87.93,90.5,87.97
88.0,89.5,87.17,88.53,86.67,87.97
88.33,89.25,87.83,86.62,85.67,87.54
89.0,89.83,90.83,88.31,84.67,88.53
87.42,88.33,90.5,90.38,86.33,88.59
86.5,86.83,89.33,85.76,90.0,87.68
86.08,90.58,84.67,85.53,89.33,87.24
87.5,87.58,87.0,86.44,86.83,87.07
88.33,85.92,86.5,90.33,89.83,88.18
86.5,85.92,92.17,87.53,85.33,87.49
90.25,88.25,87.5,89.82,91.33,89.43
88.33,90.0,87.33,85.51,88.83,88.0
86.25,86.25,87.83,88.27,85.83,86.89
87.08,85.67,89.0,89.76,88.17,87.93
85.0,87.58,86.33,88.8,89.33,87.41
87.08,89.5,87.5,86.38,89.0,87.89
88.75,86.17,85.33,87.8,85.83,86.78
87.33,89.33,90.17,86.16,85.0,87.6
86.5,87.25,87.67,89.78,86.33,87.51
89.25,87.0,85.17,87.29,88.5,87.44
87.5,87.67,88.5,90.51,88.17,88.47
90.92,87.42,87.33,86.56,90.5,88.54
86.75,88.83,89.5,90.29,90.0,89.07
86.58,86.58,86.83,86.67,90.33,87.4
86.83,86.0,88.5,87.98,86.67,87.2
85.58,87.08,88.0,85.02,86.17,86.37
87.83,86.67,86.5,88.69,84.5,86.84
86.33,88.0,85.83,88.0,87.0,87.03
86.67,88.25,89.5,86.84,87.17,87.69
87.33,85.33,88.17,87.2,84.83,86.57
87.83,87.75,85.5,86.36,83.67,86.22
88.0,87.33,90.67,87.93,87.5,88.29
84.67,88.58,84.0,88.67,87.83,86.75
88.5,87.08,91.5,88.78,87.67,88.71
89.92,86.75,90.0,88.78,89.67,89.02
86.5,88.17,88.83,86.98,87.17,87.53
87.75,86.75,88.33,86.4,85.5,86.95
88.92,87.58,86.17,85.51,84.0,86.44
86.58,89.67,88.0,87.4,87.0,87.73
87.67,87.25,83.0,87.16,86.5,86.31
85.25,86.83,85.83,84.29,85.83,85.61
87.17,89.33,87.67,86.18,85.5,87.17
89.58,89.67,87.33,88.36,87.17,88.42
84.5,87.75,84.17,87.53,86.83,86.16
88.67,90.25,89.83,85.09,87.17,88.2
86.83,87.5,86.0,86.22,89.5,87.21
88.5,86.67,87.67,87.29,85.0,87.02
85.0,85.92,83.17,86.29,91.0,86.27
88.17,88.25,88.5,85.04,88.67,87.73
89.58,86.08,87.67,87.98,87.5,87.76
88.25,87.25,86.67,86.04,88.0,87.24
88.75,86.33,90.0,86.62,88.17,87.97
