LIN10000,API10000,BRP10000,FUL10000,ASI10000,APM10000,AII10000,INTG_001
65.0,63.1,63.0,65.8,65.6,67.4,66.19,65.16
61.12,60.38,62.1,63.2,47.5,59.3,68.95,60.37
67.62,65.1,59.8,60.0,69.9,56.1,64.29,63.26
61.38,65.24,71.2,72.0,60.8,61.8,58.24,64.38
70.0,67.52,63.5,62.5,69.4,76.9,58.24,66.87
60.0,63.14,70.5,72.9,62.8,70.5,56.48,65.19
71.5,62.14,58.9,63.2,65.0,61.9,63.9,63.79
61.25,67.9,69.6,57.6,66.8,75.7,62.0,65.84
56.62,67.43,63.1,73.7,66.7,73.1,67.95,66.94
74.88,64.43,58.7,72.2,62.8,59.7,68.24,65.85
63.88,75.29,71.6,66.2,57.7,51.6,53.43,62.81
69.62,57.38,71.1,66.7,62.2,69.9,59.24,65.16
65.88,60.29,71.9,73.3,48.6,59.6,63.67,63.32
61.25,63.67,71.7,56.8,62.6,66.6,59.9,63.22
49.75,63.33,72.2,60.2,65.9,67.4,57.19,62.28
62.0,64.81,68.0,67.3,60.7,61.4,66.1,64.33
64.5,62.1,73.1,55.5,66.0,69.6,58.48,64.18
53.75,71.71,67.5,64.5,60.8,76.5,64.14,65.56
49.38,69.24,59.5,77.6,62.3,55.7,59.62,61.9
73.88,67.38,70.2,60.4,56.9,64.4,66.52,65.67
58.62,68.67,55.7,68.5,66.5,67.2,57.86,63.29
68.38,64.43,72.5,51.1,64.7,67.0,56.19,63.47
60.5,62.67,65.1,65.3,58.3,61.0,59.19,61.72
67.25,61.19,64.3,74.4,70.8,69.5,65.19,67.52
65.12,62.14,62.4,55.5,69.8,57.9,74.14,63.86
59.88,60.48,69.3,57.7,63.3,69.7,55.62,62.28
66.88,61.05,73.1,61.6,74.1,61.1,70.95,66.97
66.38,63.9,59.6,58.0,69.4,51.5,66.9,62.24
71.75,68.48,65.6,54.7,57.7,60.3,60.43,62.71
76.75,68.48,60.6,60.2,64.4,59.8,66.33,65.22
62.75,61.57,66.5,60.6,63.9,75.0,67.0,65.33
61.38,61.05,64.6,59.9,61.8,63.2,68.67,62.94
65.5,65.14,70.1,67.9,60.7,78.1,61.24,66.95
58.25,64.52,59.6,51.6,53.4,64.1,66.19,59.67
68.75,67.86,62.9,67.2,62.1,63.1,62.86,64.97
67.5,63.0,57.9,52.7,56.8,65.6,66.76,61.47
74.62,67.81,77.0,56.0,59.6,67.8,56.67,65.64
62.5,66.76,65.6,64.4,65.7,72.2,66.71,66.27
58.5,63.05,63.5,62.7,65.5,73.4,65.14,64.54
