WPO10000,PPP10000,TQA10000,OCD10000,SPC10000,CTP10000,PCF10000,CTL10000,POD10000,ANL10000,PSU10000,INV10000,TST10000,COR10000,PCC10000,CAP10000,PUR10000,PBM10000,ANM10000,PROD_001
52.88,63.64,58.49,58.6,61.87,53.8,51.57,54.42,52.72,59.02,52.95,50.43,62.82,54.9,54.59,60.25,54.2,51.4,58.35,56.15
58.76,52.5,56.52,62.9,42.13,60.5,55.6,45.53,54.19,54.08,62.5,55.67,60.91,56.88,52,56.15,54.02,51.95,45.62,54.65
59.44,47.25,58.41,70.17,53.9,58.6,51.37,59.22,61.64,62,62.12,55.53,56.18,53.82,58.25,57.1,61.22,56.65,57.45,57.91
51.24,61.56,49.8,57.97,51.13,63.63,58.83,52.53,52.83,52.9,51.28,48.9,54.38,57.12,55.07,62.18,51.05,59.82,56.9,55.22
54.79,44.25,60.41,58.27,53.37,63.4,60.8,62.12,57.53,58.95,50.58,62.47,55.99,56.72,51.03,51.32,55.82,52.58,58.85,56.28
52.7,56.42,50.38,51.7,64.53,53.87,52.67,65.97,54.21,55.2,57.7,58.73,61.07,57.22,53.66,59.42,54.62,56.85,55.48,56.44
56.72,49.08,63.2,61.77,58.73,61.23,53.6,55.78,54.02,56.5,53.02,61.1,55.63,53.68,62.47,63.08,49.1,54.25,50.18,56.48
58.97,57,56.31,50.63,59.1,57.03,57.97,50.96,52.44,51.58,58.68,55.13,61.6,57.6,53.46,59.28,54.48,57,62.1,56.38
55.05,60.78,54.39,53.63,60.5,66.57,57.4,57.89,52.11,55.72,61.6,66.9,56.4,62.08,58.71,60.68,58.28,59.45,51.05,58.38
61.85,56.64,48.97,57.73,51.6,63.23,52.7,55.09,55.78,59.28,63.55,53.8,56.42,57.42,55.61,57.3,63.8,55.38,51.72,56.73
49.17,54.56,59.41,58.53,56.83,57.9,60.5,51.98,45.9,63.6,57.85,60.6,47.12,51.78,55.02,55.78,54.65,54.3,62,55.66
58.96,52.11,51.62,57.93,58.9,53,49.13,53.17,55.62,52.55,57.98,60.63,59.07,49.9,47.29,55.3,56,50.82,57.08,54.58
