RST10000,RCD10000,RSL10000,RSU10000,ROR10000,RDA10000,RTR10000,RPR10000,RMR10000,RCM10000,RSRC_001
63.63,60.32,59.0,60.16,73.95,51.68,53.11,61.53,62.63,61.68,60.77
55.0,54.26,61.68,52.26,56.84,64.32,64.79,62.89,59.47,66.32,59.78
66.05,57.47,57.42,57.05,52.58,58.42,64.42,55.53,48.42,57.63,57.5
64.63,58.53,64.74,51.79,62.26,61.05,60.42,57.79,56.74,53.84,59.18
57.32,61.16,57.84,72.95,63.0,56.79,64.37,57.0,58.42,64.63,61.35
58.84,66.32,57.63,63.84,57.16,58.11,60.47,64.42,61.37,58.79,60.69
57.89,54.95,60.63,62.37,58.11,65.95,65.26,60.53,62.05,63.11,61.08
60.26,61.95,62.53,61.63,50.47,59.79,56.63,61.53,57.37,52.16,58.43
58.74,54.74,62.74,63.58,65.58,58.37,63.95,55.0,59.74,56.74,59.92
62.68,63.79,67.95,61.32,70.74,59.89,66.68,62.68,60.16,59.58,63.55
57.95,64.42,57.05,54.68,59.47,59.58,60.47,56.26,59.05,55.21,58.42
61.95,57.84,64.05,51.53,55.84,58.05,57.37,56.42,62.42,63.74,58.92
60.68,60.37,66.16,65.05,62.21,60.05,62.84,69.95,69.11,66.05,64.25
50.21,60.53,62.68,60.26,64.58,65.42,58.37,58.74,59.63,59.05,59.95
58.47,57.37,54.68,62.21,60.89,63.32,61.05,62.21,54.89,56.84,59.19
58.47,62.68,56.68,58.53,53.47,61.16,62.84,63.74,57.47,66.42,60.15
67.53,64.95,57.58,56.37,55.53,60.74,63.53,62.11,65.26,65.26,61.88
62.58,58.68,61.74,56.21,53.58,52.42,59.21,61.95,56.79,57.84,58.1
57.79,61.95,61.84,57.32,53.89,66.89,59.74,60.32,58.32,65.95,60.4
59.74,63.74,53.37,61.37,67.0,66.37,60.63,55.95,52.32,52.63,59.31
54.58,56.95,67.0,58.16,57.37,61.37,69.37,57.32,64.05,54.05,60.02
61.26,63.16,54.37,56.84,66.58,60.26,59.95,62.84,53.42,63.89,60.26
63.63,52.26,57.32,59.63,60.84,61.63,59.26,59.16,66.42,55.05,59.52
62.0,63.63,60.11,60.89,67.53,62.16,64.53,59.79,57.53,59.37,61.75
65.32,63.79,59.68,63.05,59.26,69.11,61.0,61.74,59.68,60.84,62.35
55.84,64.26,55.74,56.89,59.42,59.37,60.89,59.68,61.26,64.0,59.74
60.37,62.53,61.05,62.58,72.11,58.47,61.89,61.42,59.16,54.53,61.41
61.63,59.95,56.79,57.11,59.37,64.47,56.74,59.21,59.79,57.32,59.24
61.42,63.79,52.63,58.58,58.84,59.95,53.16,60.53,62.74,61.0,59.26
62.42,61.32,60.05,62.63,62.53,67.32,65.26,60.63,58.21,56.79,61.72
60.63,61.0,61.63,60.37,59.21,64.89,65.89,61.21,58.79,63.79,61.74
56.32,60.47,55.68,55.26,64.79,59.95,62.68,58.53,55.95,63.21,59.28
61.37,63.84,58.84,55.05,51.74,51.58,59.84,61.95,61.89,59.42,58.55
55.89,61.26,58.16,66.42,58.95,68.84,59.74,62.89,65.16,57.58,61.49
62.84,55.63,58.32,64.74,61.47,62.42,61.11,62.68,58.89,55.0,60.31
61.63,56.32,60.42,59.05,57.47,57.79,65.63,58.32,52.16,59.37,58.82
61.0,59.47,59.53,63.11,61.53,62.47,67.42,56.42,57.53,57.21,60.57
57.68,58.26,71.05,59.47,52.0,65.58,58.11,64.53,59.63,62.0,60.83
55.79,61.68,54.74,63.47,60.0,59.32,57.26,58.53,58.47,61.68,59.09
60.05,55.0,61.53,54.58,58.84,62.79,61.32,56.95,59.63,69.47,60.02
59.53,60.84,63.21,60.47,65.84,55.11,61.21,63.63,66.84,56.47,61.32
58.79,57.37,67.84,55.79,57.37,58.16,63.74,60.58,58.11,56.79,59.45
58.47,66.47,61.32,69.58,51.74,64.84,57.32,61.89,51.53,67.32,61.05
58.16,59.63,53.58,58.42,67.79,63.58,61.11,64.11,64.68,58.26,60.93
58.11,59.79,57.47,62.47,61.63,59.37,63.74,61.95,64.37,55.89,60.48
57.63,56.37,63.53,59.11,62.21,60.42,51.32,59.74,55.37,52.11,57.78
61.63,59.74,55.21,60.95,59.37,56.16,64.05,55.84,59.0,57.84,58.98
56.11,63.84,64.05,58.05,59.0,56.0,58.58,60.53,57.37,54.21,58.77
58.47,61.32,60.32,58.63,60.32,57.05,57.84,59.53,67.53,55.16,59.62
64.63,64.47,65.63,64.16,59.84,66.11,54.47,57.63,63.47,59.42,61.98
64.21,61.16,56.68,54.21,56.63,53.53,60.74,62.63,60.47,55.37,58.56
60.16,62.68,65.05,64.63,60.68,56.0,63.63,60.58,59.42,54.32,60.72
62.89,58.05,58.0,62.16,52.95,65.74,60.89,63.21,64.21,64.32,61.24
69.0,54.11,60.84,56.95,58.0,52.84,58.16,65.47,66.42,65.32,60.71
57.05,57.74,63.68,60.95,64.32,56.16,60.0,56.74,58.68,54.53,58.98
59.89,58.26,54.37,65.21,65.05,58.63,52.63,58.26,61.47,63.32,59.71
59.11,61.32,67.11,65.58,51.37,63.05,62.79,56.26,60.11,60.42,60.71
54.84,63.89,61.21,60.0,56.68,58.79,58.89,54.53,60.84,63.89,59.36
51.16,56.79,63.11,69.05,60.74,57.84,60.0,56.47,58.47,61.68,59.53
