Sub_Module_ID,Sub_Module_Name,Module_ID,Module_Name
BGL10000,Brand Guidelines,BRDM_001,Brand Management
DAM10000,Digital Asset Management,BRDM_001,Brand Management
BTP10000,Brand Templating,BRDM_001,Brand Management
BAL10000,Brand Analytics,BRDM_001,Brand Management
BCB10000, Brand Collaboration,BRDM_001,Brand Management
BLC10000, Brand Localization,BRDM_001,Brand Management
BSP10000,Business Partner Strategy & Planning,BSPT_001,Business Partner
BTD10000,Business Partner Tender Management,BSPT_001,Business Partner
BRR10000,Party Relationship Development & Retirement,BSPT_001,Business Partner
ODR10000,Business Partner Offering Development & Retirement,BSPT_001,Business Partner
BPA10000,Business Partner Agreement Management,BSPT_001,Business Partner
BPS10000,Business Partner Support Management,BSPT_001,Business Partner
POM10000,Business Partner Order Management,BSPT_001,Business Partner
BPI10000,Business Partner Interaction Management,BSPT_001,Business Partner
PPB10000,Business Partner Problem Management,BSPT_001,Business Partner
BPP10000,Business Partner Performance Management,BSPT_001,Business Partner
PSE10000,Party Special Event Management,BSPT_001,Business Partner
PBI10000,BP Bill/Invoice Management,BSPT_001,Business Partner
PPR10000,BP Bill Payments & Receivables Management,BSPT_001,Business Partner
RSS10000,Business Partner Revenue Sharing and Settlement,BSPT_001,Business Partner
INH10000,BP Bill Inquiry Handling,BSPT_001,Business Partner
INM10000,Party Inventory Management,BSPT_001,Business Partner
PPV10000,Business Partner Privacy Management,BSPT_001,Business Partner
CSR10000,Customer Support and Readiness,CUST_001,Customer
CEM10000,Customer Experience Management,CUST_001,Customer
ORH10000,Order Handling,CUST_001,Customer
CRM10000,Customer Relationship Management,CUST_001,Customer
ITM10000,Customer Interaction Management,CUST_001,Customer
CIM10000,Customer Information Management,CUST_001,Customer
CPM10000,Customer Problem Management,CUST_001,Customer
QSL10000,Customer QoS/SLA Management,CUST_001,Customer
BIM10000,Billing and Invoice Management,CUST_001,Customer
BPR10000,Bill Payments and Receivables Management,CUST_001,Customer
BIH10000,Billing Inquiry Handling,CUST_001,Customer
BEV10000,Manage Billing Events,CUST_001,Customer
CHG10000,Charging,CUST_001,Customer
CBC10000,Manage Balances,CUST_001,Customer
RTN10000,Customer Retention Management,CUST_001,Customer
CII10000,Customer Insight and Intelligence,CUST_001,Customer
CCM10000,Customer Communication Management,CUST_001,Customer
CSP10000,Customer Segmenttion and Profiling,CUST_001,Customer
CFS10000,Customer Feedback and Survey Management,CUST_001,Customer
EST10000,Strategic Management,ETPR_001,Enterprise
ERK10000,Enterprise Risk Management,ETPR_001,Enterprise
EFI10000,Financial Management,ETPR_001,Enterprise
EKW10000,Knowledge Management,ETPR_001,Enterprise
EHU10000,Human Resources Management,ETPR_001,Enterprise
EBA10000, Business Assurance Framework Management,ETPR_001,Enterprise
ESC10000,Supply Chain Management,ETPR_001,Enterprise
ESE10000,Enterprise Security Management,ETPR_001,Enterprise
EAS10000,Enterprise Asset Management,ETPR_001,Enterprise
EPR10000,Enterprise Performance Management,ETPR_001,Enterprise
EGV10000,Enterprise Governance Management,ETPR_001,Enterprise
ERS10000,Research Management,ETPR_001,Enterprise
ELR10000,Learning Management,ETPR_001,Enterprise
ETR10000,Training Management,ETPR_001,Enterprise
EAU10000,Enterprise Audit Management,ETPR_001,Enterprise
EPV10000,Enterprise Privacy Management,ETPR_001,Enterprise
ECF10000,Corporate Finance Management,ETPR_001,Enterprise
EIF10000,Enterprise Information Management,ETPR_001,Enterprise
ESU10000,Environmental Sustainability,ESRC_001,ESGRC
SSU10000,Social Sustainability,ESRC_001,ESGRC
CSU10000,Economic Sustainability,ESRC_001,ESGRC
GNT10000,Governance and Transparency,ESRC_001,ESGRC
CGS10000,Compliance to Global Standards,ESRC_001,ESGRC
GRC10000," Governance, Risk, and Compliance (GRC)",ESRC_001,ESGRC
ERM10000, Enterprise Risk Management (ERM),ESRC_001,ESGRC
AUD10000, Internal Audit,ESRC_001,ESGRC
POL10000, Policy Management,ESRC_001,ESGRC
REG10000, Regulatory Compliance,ESRC_001,ESGRC
