BGL10102,BGL10103,BGL10105,DAM10102,DAM10103,DAM10105,BTP10102,BTP10103,BAL10102,BAL10103,BAL10104,BCB10102,BCB10103,BLC10102,BLC10103
75,65,75,95,95,95,70,75,84,88,85,93,73,68,89
85,65,68,91,84,86,73,89,83,84,93,88,98,71,83
71,70,97,78,71,65,84,77,66,95,78,98,80,91,75
71,98,84,91,70,69,70,96,69,92,69,77,86,80,96
90,97,93,78,80,82,83,81,88,98,87,91,78,98,93
68,98,70,68,91,90,96,81,92,68,93,91,67,80,94
90,92,76,78,81,73,91,80,98,81,72,88,67,90,90
78,76,91,89,92,68,68,98,68,78,84,66,93,68,95
87,73,93,73,82,82,87,77,88,65,69,80,87,93,74
65,92,98,86,71,76,96,97,68,94,74,73,74,65,90
75,87,71,96,90,75,84,81,93,82,71,68,94,94,85
74,71,87,77,65,69,66,80,79,81,84,94,81,94,88
68,77,70,95,75,93,67,93,67,72,82,65,70,80,91
78,85,90,70,96,88,75,79,69,76,70,67,83,67,71
67,97,77,81,78,85,89,67,87,75,69,70,96,84,67
67,75,73,89,68,79,67,83,75,82,65,68,82,71,90
76,67,95,97,67,89,81,97,87,96,94,81,77,89,85
89,83,91,68,80,92,69,77,72,76,77,95,77,88,85
77,82,65,73,84,92,74,71,74,89,92,88,85,83,75
85,76,88,95,74,78,73,81,78,72,87,68,78,95,82
65,97,76,74,65,98,80,90,85,70,87,84,93,74,86
67,81,81,83,78,93,68,88,80,74,90,81,92,74,69
87,85,72,92,80,91,65,98,79,97,87,76,93,73,94
69,75,82,90,86,79,72,68,77,94,66,97,69,86,68
71,69,86,84,67,92,85,70,68,81,67,80,76,88,88
72,71,83,95,68,93,95,98,77,89,85,88,98,80,78
74,67,66,93,90,93,67,92,80,73,92,93,75,83,90
93,97,79,96,69,82,78,92,94,80,91,77,92,71,90
85,76,93,88,72,84,81,78,96,79,71,66,91,97,67
71,75,72,67,85,71,94,79,80,71,75,74,72,82,68
76,89,79,70,75,67,73,93,90,98,74,70,82,81,70
96,80,96,65,67,97,98,78,95,91,65,76,98,66,83
85,97,87,87,69,94,77,88,89,79,85,98,89,90,90
85,66,70,79,74,74,92,84,69,83,83,84,69,93,79
97,82,80,69,93,93,80,69,70,77,88,89,84,81,88
88,78,83,78,68,66,84,71,95,72,76,81,91,89,66
93,72,80,95,79,67,72,94,86,89,70,69,80,68,83
80,70,80,69,68,95,87,86,80,67,79,76,87,70,70
90,82,87,97,86,75,77,72,97,81,87,65,67,81,77
83,70,81,65,70,82,69,88,93,87,77,71,78,81,75
79,74,82,69,68,89,82,69,85,80,86,69,89,91,86
69,90,97,84,94,80,89,68,81,93,73,85,88,65,66
79,98,83,83,84,70,66,73,89,72,66,84,77,87,90
73,71,94,76,82,84,85,88,72,78,69,71,84,91,84
77,89,78,87,86,88,75,84,66,92,70,94,84,83,97
78,70,72,97,81,92,83,75,67,82,83,97,68,86,70
86,98,91,66,96,94,76,76,75,94,89,90,79,78,93
76,79,86,96,88,91,71,95,98,67,77,68,68,81,78
71,92,98,92,94,86,72,80,71,77,66,93,82,92,94
74,78,66,83,69,67,80,78,70,88,83,82,83,67,88
