ESU10102,ESU10103,ESU10104,ESU10106,ESU10107,ESU10109,ESU10110,SSU10102,SSU10103,SSU10105,SSU10106,SSU10108,SSU10109,CSU10102,CSU10103,CSU10105,CSU10106,CSU10108,CSU10109,GNT10102,GNT10103,GNT10105,GNT10106,CGS10102,CGS10103,CGS10105,CGS10106,CGS10108,CGS10109,GRC10102,GRC10103,GRC10104,GRC10106,GRC10107,GRC10109,GRC10110,ERM10102,ERM10103,ERM10105,ERM10106,ERM10108,ERM10109,AUD10102,AUD10103,AUD10105,AUD10106,AUD10108,AUD10109,POL10102,POL10103,POL10105,POL10106,POL10108,POL10109,REG10102,REG10103,REG10105,REG10106,REG10108,REG10109,ETI10102,ETI10103,ETI10105,ETI10106,ETI10108,ETI10109,CGV10102,CGV10103,CGV10105,CGV10106,CGV10108,CGV10109,IGV10102,IGV10103,IGV10105,IGV10106,IGV10108,IGV10109,CPI10102,CPI10103,CPI10105,CPI10106,CPI10108,CPI10109
85,75,65,65,84,78,67,85,75,82,65,78,85,85,75,82,65,78,85,85,75,82,65,85,75,82,65,87,91,85,75,81,65,79,91,89,85,75,81,85,79,91,85,75,81,85,79,91,85,75,81,85,79,91,85,75,82,65,87,91,85,75,82,65,87,91,85,75,82,65,87,91,85,75,82,65,87,91,85,75,82,65,87,91
83,90,80,94,91,92,97,95,78,98,92,83,93,76,79,98,98,97,80,95,84,78,92,75,82,91,98,84,98,92,78,90,85,82,85,89,87,86,83,82,94,90,96,96,76,77,76,78,93,86,93,75,92,77,75,86,85,90,84,85,84,88,85,87,87,80,79,87,78,87,75,82,91,77,92,86,82,76,93,83,82,85,97,76
87,86,76,90,79,87,78,78,79,81,96,82,77,87,85,80,95,89,96,84,82,85,87,94,75,92,75,98,96,85,78,98,80,82,83,81,84,91,96,93,91,78,89,77,84,97,93,78,88,86,87,90,77,93,83,81,92,81,85,75,88,79,85,81,77,83,79,85,85,80,92,85,82,98,92,91,85,87,97,90,85,79,84,78
85,90,83,85,98,80,93,87,76,92,83,76,79,98,98,81,77,91,75,83,94,82,86,82,87,92,89,88,94,94,91,95,75,83,85,97,94,96,78,90,95,94,92,78,94,83,89,75,78,84,85,91,92,95,83,94,92,82,77,94,93,95,81,77,84,88,88,78,83,80,82,95,82,80,83,85,93,76,76,86,82,95,86,86
94,86,76,79,80,85,94,86,93,95,89,77,90,87,92,89,82,82,80,89,84,96,84,85,81,98,86,82,78,97,89,83,87,84,90,75,98,93,76,91,94,76,91,90,86,91,76,90,79,95,80,87,95,83,93,83,84,98,81,95,91,82,87,89,79,77,81,94,80,80,76,93,92,96,97,75,92,89,85,79,81,98,96,93
87,93,98,83,76,83,81,83,93,84,83,98,98,92,79,95,82,93,95,92,89,81,83,83,94,80,95,85,93,83,94,97,92,96,95,81,84,82,80,80,75,82,85,94,98,83,79,79,90,83,87,89,91,92,75,77,79,86,92,95,86,75,97,77,88,79,93,91,83,77,98,77,95,97,79,81,88,75,75,80,75,90,80,86
93,80,86,91,85,81,88,94,81,96,95,86,83,96,88,96,88,93,98,86,79,76,98,83,95,98,79,80,86,80,91,84,90,97,80,93,78,87,77,96,77,78,85,79,77,83,88,84,90,93,97,85,94,94,92,83,84,94,77,86,81,77,77,82,88,79,80,83,90,92,96,88,94,96,88,84,93,91,86,81,75,90,77,87
94,81,78,79,82,93,80,82,85,80,91,76,86,93,78,75,82,93,84,80,92,98,91,78,88,86,95,93,83,79,89,85,86,94,95,86,80,92,89,79,94,89,87,92,90,88,91,79,77,75,94,92,77,79,82,96,84,87,77,88,88,90,92,88,92,96,77,84,93,82,87,91,92,81,91,85,94,75,87,97,90,88,80,77
86,92,86,90,85,85,88,95,98,95,94,80,84,85,93,77,91,75,90,82,86,78,93,82,85,85,92,82,86,83,79,84,97,90,82,80,85,77,87,86,89,81,87,90,88,85,75,88,91,85,89,86,75,85,88,94,95,81,76,80,87,77,80,98,95,93,89,89,82,86,81,91,90,76,76,80,91,81,85,82,78,75,86,93
77,78,92,94,83,88,87,97,98,79,98,75,76,93,77,96,96,96,84,85,92,91,86,98,77,96,93,90,95,77,83,75,92,87,84,97,88,80,76,90,91,98,93,78,90,96,94,77,80,91,96,81,95,89,83,76,83,93,94,80,86,83,84,90,96,80,75,87,94,91,76,78,85,97,90,92,82,82,82,75,94,86,85,91
