LIN10102,LIN10103,LIN10104,LIN10106,LIN10107,LIN10108,LIN10110,LIN10111,API10102,API10103,API10104,API10106,API10107,API10108,API10110,API10111,API10112,API10114,API10115,API10116,API10118,API10119,API10120,API10122,API10123,API10124,API10126,API10127,API10128,BRP10102,BRP10103,BRP10104,BRP10106,BRP10107,BRP10108,BRP10110,BRP10111,BRP10112,BRP10114,FUL10102,FUL10103,FUL10104,FUL10105,FUL10107,FUL10108,FUL10110,FUL10111,FUL10112,FUL10113,ASI10102,ASI10103,ASI10104,ASI10106,ASI10107,ASI10108,ASI10109,ASI10110,ASI10112,ASI10113,APM10102,APM10103,APM10104,APM10105,APM10107,APM10108,APM10110,APM10111,APM10112,APM10114,AII10102,AII10103,AII10104,AII10106,AII10107,AII10108,AII10110,AII10111,AII10112,AII10114,AII10115,AII10116,AII10118,AII10119,AII10120,AII10122,AII10123,AII10124,AII10126,AII10127,AII10128
76,32,82,60,77,33,80,80,93,84,30,41,63,87,40,46,98,59,69,60,51,75,42,84,50,52,43,67,91,69,41,51,93,97,63,70,35,53,58,96,32,64,38,79,96,80,85,33,55,81,76,43,98,44,34,40,96,88,56,61,84,67,75,88,51,32,63,61,92,44,41,50,82,66,34,50,77,95,83,36,52,78,35,85,46,84,97,98,59,98
75,61,50,75,51,53,91,33,56,32,71,60,46,73,62,80,71,79,79,53,50,48,54,40,67,85,91,41,30,42,38,73,46,95,57,53,94,56,67,33,86,93,43,65,52,30,51,94,85,31,39,46,42,96,50,48,53,35,35,44,47,68,85,63,67,79,36,55,49,87,69,73,35,34,56,87,57,91,65,98,62,69,93,42,38,74,49,95,91,83
42,76,59,96,49,98,31,90,43,66,86,60,68,51,69,56,32,87,81,78,55,80,75,38,48,83,82,88,41,77,87,62,84,49,37,37,47,59,59,52,83,58,42,55,47,76,70,83,34,95,83,84,56,31,73,65,50,81,81,48,35,53,44,40,66,85,67,70,53,60,48,42,73,46,63,42,86,89,97,60,77,39,68,72,38,96,60,66,51,77
90,91,49,98,41,51,39,32,50,70,36,96,74,45,58,98,70,44,31,95,31,86,84,77,61,94,46,84,40,84,97,82,78,67,91,54,47,36,76,94,98,57,41,69,94,46,87,66,68,84,63,47,90,90,31,32,48,46,77,47,75,44,40,93,40,61,91,89,38,36,35,73,72,47,75,49,50,87,80,91,62,30,42,47,40,58,53,82,55,59
33,40,88,95,75,94,95,40,90,39,98,36,41,90,56,70,74,39,67,49,73,79,90,48,92,70,81,59,77,53,92,45,82,33,55,77,30,76,92,44,96,46,43,70,60,66,82,74,44,47,31,64,98,84,93,76,87,73,41,67,78,82,87,87,87,80,41,85,75,89,62,75,64,42,47,39,34,47,60,74,35,35,57,73,59,67,82,50,91,41
53,77,62,69,52,39,75,53,37,31,59,84,64,90,35,40,70,76,49,30,91,94,58,68,34,67,77,75,97,82,83,39,61,54,54,93,84,77,78,70,77,92,81,81,42,62,90,55,79,61,55,85,40,36,51,56,97,70,77,97,37,91,95,70,84,37,53,58,83,80,62,38,50,53,70,73,36,70,61,43,67,65,30,66,56,90,42,30,51,53
87,36,85,89,95,61,31,88,96,32,84,79,42,55,46,98,42,40,35,62,59,55,94,76,79,86,67,31,47,47,45,61,76,42,44,98,54,78,44,73,85,74,39,33,68,45,83,39,93,59,87,49,72,34,94,95,54,31,75,92,76,54,53,73,79,49,62,34,47,43,40,95,30,85,68,77,63,44,59,86,86,70,60,64,49,88,72,86,46,31
70,36,48,55,41,90,69,81,96,89,51,38,79,57,70,91,89,78,48,85,92,55,63,49,86,38,78,49,45,34,34,83,90,62,92,85,97,45,74,98,46,73,41,64,42,32,49,82,49,81,94,52,81,94,69,32,39,48,78,98,46,58,80,82,81,91,90,98,33,70,44,58,64,77,77,54,79,81,76,34,81,53,32,88,38,42,81,45,78,50
40,44,92,56,65,36,80,40,87,96,89,58,62,35,67,50,46,59,84,86,96,56,63,39,72,40,53,83,95,59,55,44,56,97,36,98,38,88,60,43,93,78,75,45,86,96,49,91,81,91,35,56,97,82,86,38,70,48,64,34,89,75,54,71,81,67,91,76,93,51,96,80,73,89,76,48,77,36,59,94,95,86,39,76,80,76,30,69,50,47
75,89,77,40,82,85,83,68,77,86,80,93,62,46,59,33,81,70,93,72,88,35,53,39,31,90,72,37,56,70,46,30,48,33,62,84,95,37,82,85,59,38,67,79,70,93,68,82,81,62,53,69,64,45,31,57,75,95,77,42,38,64,83,47,48,93,39,56,87,84,98,44,71,83,40,57,37,45,89,87,79,65,42,54,53,87,91,48,92,87
