RST10101,RST10102,RST10103,RST10104,RST10105,RST10106,RST10107,RST10108,RST10109,RST10110,RST10111,RST10112,RST10113,RST10114,RST10115,RST10116,RST10117,RST10118,RST10119,RCD10101,RCD10102,RCD10103,RCD10104,RCD10105,RCD10106,RCD10107,RCD10108,RCD10109,RCD10110,RCD10111,RCD10112,RCD10113,RCD10114,RCD10115,RCD10116,RCD10117,RCD10118,RCD10119,RSL10101,RSL10102,RSL10103,RSL10104,RSL10105,RSL10106,RSL10107,RSL10108,RSL10109,RSL10110,RSL10111,RSL10112,RSL10113,RSL10114,RSL10115,RSL10116,RSL10117,RSL10118,RSL10119,RSU10101,RSU10102,RSU10103,RSU10104,RSU10105,RSU10106,RSU10107,RSU10108,RSU10109,RSU10110,RSU10111,RSU10112,RSU10113,RSU10114,RSU10115,RSU10116,RSU10117,RSU10118,RSU10119,ROR10101,ROR10102,ROR10103,ROR10104,ROR10105,ROR10106,ROR10107,ROR10108,ROR10109,ROR10110,ROR10111,ROR10112,ROR10113,ROR10114,ROR10115,ROR10116,ROR10117,ROR10118,ROR10119,RDA10101,RDA10102,RDA10103,RDA10104,RDA10105,RDA10106,RDA10107,RDA10108,RDA10109,RDA10110,RDA10111,RDA10112,RDA10113,RDA10114,RDA10115,RDA10116,RDA10117,RDA10118,RDA10119,RTR10101,RTR10102,RTR10103,RTR10104,RTR10105,RTR10106,RTR10107,RTR10108,RTR10109,RTR10110,RTR10111,RTR10112,RTR10113,RTR10114,RTR10115,RTR10116,RTR10117,RTR10118,RTR10119,RPR10101,RPR10102,RPR10103,RPR10104,RPR10105,RPR10106,RPR10107,RPR10108,RPR10109,RPR10110,RPR10111,RPR10112,RPR10113,RPR10114,RPR10115,RPR10116,RPR10117,RPR10118,RPR10119,RMR10101,RMR10102,RMR10103,RMR10104,RMR10105,RMR10106,RMR10107,RMR10108,RMR10109,RMR10110,RMR10111,RMR10112,RMR10113,RMR10114,RMR10115,RMR10116,RMR10117,RMR10118,RMR10119,RCM10101,RCM10102,RCM10103,RCM10104,RCM10105,RCM10106,RCM10107,RCM10108,RCM10109,RCM10110,RCM10111,RCM10112,RCM10113,RCM10114,RCM10115,RCM10116,RCM10117,RCM10118,RCM10119
64,69,46,90,56,68,68,83,89,43,60,68,48,76,50,78,43,30,80,90,87,53,42,63,57,77,43,63,88,78,58,43,58,49,38,65,45,49,58,79,48,63,51,69,63,43,51,64,43,78,38,30,86,89,76,35,57,45,56,30,78,45,69,33,54,69,63,31,90,82,74,61,78,69,62,54,66,84,85,54,66,87,70,83,78,86,64,90,75,86,79,30,89,62,71,58,54,75,39,35,73,31,56,31,34,63,36,65,38,76,38,64,40,76,70,47,50,56,72,57,51,48,38,41,52,68,51,51,43,57,76,47,34,59,71,56,57,63,55,54,58,32,69,80,78,82,82,47,52,43,80,51,61,75,51,76,67,60,68,58,42,69,45,30,80,79,40,84,32,85,88,73,70,40,75,57,74,56,62,65,86,35,42,52,61,40,47,79,80,78
44,78,85,44,57,34,44,65,46,33,81,74,76,30,64,37,72,38,43,55,55,54,71,30,56,36,51,58,80,87,41,65,49,35,48,50,32,78,67,70,60,40,62,39,88,69,39,58,57,74,65,59,84,54,59,50,78,31,53,33,46,45,72,61,39,80,54,50,64,41,51,39,64,64,59,47,74,60,88,85,50,63,36,51,36,34,58,63,33,66,63,42,44,78,56,78,45,64,71,66,69,65,65,33,76,39,47,67,90,87,80,67,51,62,36,56,80,83,43,59,43,66,76,89,80,74,53,83,59,73,80,52,46,66,77,35,57,34,68,57,47,88,78,89,67,86,58,38,60,31,77,82,57,48,52,49,60,40,76,73,42,81,33,50,88,52,67,68,71,79,44,86,74,48,64,77,58,65,73,71,67,75,56,67,75,40,38,59,85,82
85,81,63,60,85,56,56,85,59,80,88,83,39,56,33,75,50,68,53,42,81,73,71,69,34,34,49,80,36,54,33,74,59,32,68,52,87,64,37,32,30,33,59,72,65,76,56,86,47,35,90,83,65,66,87,35,37,53,68,68,39,64,77,32,84,53,58,48,85,57,45,30,90,46,32,55,30,45,46,60,74,36,45,34,50,36,50,54,40,90,90,75,44,59,41,43,63,77,37,79,43,58,54,88,42,77,39,41,79,86,64,68,38,34,51,52,61,41,86,69,53,76,40,75,61,69,84,37,69,42,85,84,89,55,71,38,31,59,68,31,68,43,52,52,88,85,49,44,45,51,81,44,41,37,30,40,41,47,37,85,53,62,37,70,46,54,45,33,36,52,74,74,60,38,76,70,48,38,63,88,33,63,77,85,37,53,36,68,50,38
70,40,90,73,82,73,52,67,61,46,56,77,83,51,81,42,71,83,30,40,66,34,58,71,59,34,86,78,79,75,63,39,31,79,56,31,47,86,70,39,30,52,59,73,60,86,69,89,78,32,76,88,61,78,39,77,74,57,60,53,35,41,36,35,52,55,56,76,66,47,64,45,43,31,69,63,53,45,69,56,83,60,58,54,67,74,60,60,66,82,74,49,60,80,33,65,52,40,73,43,75,90,82,74,47,60,85,58,48,36,53,66,48,65,82,72,55,52,57,65,66,62,30,31,61,87,69,40,84,69,48,69,49,86,35,37,86,66,38,32,83,79,90,49,64,61,42,71,61,37,46,35,75,45,75,39,86,50,58,50,52,70,53,30,62,37,48,71,60,32,85,87,47,71,53,33,50,35,50,43,58,41,31,48,53,56,64,59,65,79
44,58,81,51,83,42,35,35,59,50,81,62,36,71,88,41,74,55,43,57,75,88,43,59,71,54,80,40,45,39,62,45,68,89,61,72,82,32,47,84,36,49,71,85,67,65,69,82,48,33,44,70,61,41,48,30,69,63,54,47,71,80,74,34,82,75,78,90,70,76,81,89,85,87,74,76,77,54,72,90,89,59,76,41,78,43,68,60,77,66,48,35,60,38,66,71,45,64,42,31,87,61,69,55,33,52,32,62,88,83,56,69,37,42,38,34,54,60,84,61,62,64,60,47,85,68,78,79,90,83,90,49,37,77,50,47,78,71,52,90,59,32,76,57,57,88,36,45,31,44,50,43,81,64,53,32,32,42,71,42,90,49,58,51,81,65,50,57,59,83,50,63,57,69,47,88,67,60,82,69,64,63,61,71,90,34,54,32,73,84
81,43,84,67,33,56,36,76,78,35,53,67,34,48,69,70,61,89,38,61,77,82,78,70,76,82,77,80,59,68,51,51,46,80,39,39,71,73,30,38,88,33,53,68,45,69,63,32,57,86,75,40,73,76,54,30,85,56,63,69,69,56,36,39,67,35,53,84,79,88,58,57,79,87,69,69,64,32,48,82,44,79,53,48,46,71,31,90,45,53,68,73,37,83,39,30,59,46,31,87,32,68,59,71,46,71,42,78,86,57,65,67,52,57,85,37,90,68,82,47,55,33,64,86,77,36,36,65,70,64,66,47,41,49,68,85,53,86,66,49,60,51,89,63,59,90,31,87,63,83,34,58,38,77,42,54,85,31,63,66,59,76,86,90,50,84,43,44,59,55,64,71,45,36,52,71,56,35,68,79,59,90,52,39,41,74,64,72,73,40
78,68,39,53,60,69,74,48,89,46,41,82,39,78,39,84,46,32,35,40,44,77,75,86,64,65,82,68,65,32,43,36,67,42,34,64,30,30,82,70,39,30,60,52,75,86,90,36,56,75,66,53,36,59,77,66,44,72,58,41,67,69,64,41,58,77,90,56,70,70,57,86,39,74,65,31,39,45,64,37,35,82,69,35,39,63,38,75,83,84,81,74,60,57,44,63,65,78,87,75,68,30,38,84,42,70,69,83,75,54,80,42,86,64,90,75,82,73,47,35,53,74,69,53,39,86,39,84,83,44,75,65,74,64,50,89,61,40,36,38,86,41,52,79,90,87,53,39,36,87,42,80,76,87,44,68,30,62,37,65,54,56,79,40,66,83,49,88,84,76,35,55,85,50,77,54,76,70,35,72,82,45,51,80,76,39,74,59,39,80
47,52,83,41,47,58,86,54,38,58,76,50,67,34,80,69,30,87,88,85,90,36,39,39,89,32,63,67,77,33,47,62,77,68,31,83,89,70,73,58,72,76,55,78,45,73,63,47,82,64,58,49,81,60,37,67,50,46,86,70,53,67,46,75,50,71,67,48,75,55,39,46,81,76,52,68,52,40,46,40,48,48,82,32,32,84,66,37,54,44,63,40,39,39,73,68,77,72,44,52,66,51,38,73,77,32,65,79,59,41,78,49,65,50,71,69,43,69,32,59,79,47,54,38,53,43,41,58,75,90,34,86,35,63,30,53,58,58,54,86,64,87,89,44,62,79,83,33,57,64,36,69,55,30,75,45,90,81,36,68,51,47,41,79,35,34,36,85,64,68,70,62,69,39,44,42,43,49,77,38,73,54,38,55,81,74,37,37,35,44
90,35,32,63,74,80,69,48,37,32,61,54,87,65,78,55,44,55,57,46,44,47,57,80,65,32,68,35,89,38,65,88,58,33,44,71,36,44,31,68,31,67,70,47,61,57,70,38,46,90,74,81,65,70,74,80,72,89,75,76,62,35,68,79,73,73,48,54,54,68,85,44,57,58,61,49,71,88,90,43,64,44,76,73,59,68,85,70,35,74,55,63,55,60,73,73,50,90,40,77,36,60,42,68,83,53,31,34,37,86,71,50,82,46,85,63,76,68,30,51,47,65,73,75,50,81,71,30,61,46,90,78,75,56,41,34,60,70,47,60,39,31,84,30,54,80,59,71,88,43,38,60,90,43,38,38,78,58,67,64,85,49,55,82,51,52,43,78,46,30,88,49,69,35,38,46,45,69,54,41,61,55,83,89,37,63,34,67,67,76
62,66,47,69,83,66,41,79,36,88,52,87,39,70,39,54,44,82,87,87,56,75,39,70,86,39,79,65,42,67,34,39,81,56,80,84,80,53,81,66,85,79,53,80,88,44,66,37,48,86,76,34,76,77,88,42,85,72,47,85,42,75,50,53,86,74,85,36,31,86,51,70,89,42,57,34,54,51,61,80,87,79,80,57,81,90,62,66,77,66,77,77,82,66,51,77,65,74,89,64,40,84,64,43,46,32,68,34,75,81,34,38,55,75,80,81,41,65,90,49,55,56,72,39,82,52,78,86,77,67,72,55,70,81,88,74,68,81,46,50,75,32,84,72,42,70,34,44,81,55,41,73,65,63,33,32,54,87,59,75,74,50,84,88,55,78,31,34,88,38,55,90,52,38,77,33,62,60,52,32,33,59,45,85,74,70,73,30,80,87
