PVD10102,PVD10103,PVD10104,PVD10106,PVD10108,PVD10110,PVD10111,PVD10113,PVD10114,PVD10115,PVD10117,PVD10118,PVD10120,PVD10121,PVM10102,PVM10103,PVM10104,PVM10106,PVM10107,PVM10108,PVM10110,PVM10111,PVM10113,PVM10114,PVM10116,PVM10117,PVM10118,PVM10120,PVM10121,PVM10122,PVM10124,PVM10125,PVM10126,PVM10128,PVM10129,PVM10130,PVM10132,PVM10133,PVM10134,PTY10102,PTY10103,PTY10104,PTY10106,PTY10107,PTY10108,PTY10110,PTY10111,PTY10112,PTY10114,PTY10115,PTY10116,PTY10118,PTY10119,PTY10120,PTY10122,PTY10123,PTY10124,PTY10126,PTY10127,PTY10128,ANO10102,ANO10103,ANO10104,ANO10106,ANO10107,ANO10108,ANO10110,ANO10111,ANO10112,ANO10114,ANO10115,ANO10116,ANO10118,ANO10119,ANO10120,ANO10122,ANO10123,ANO10124,CMM10102,CMM10103,CMM10104,CMM10106,CMM10107,CMM10108,CMM10110,CMM10111,CMM10112,CMM10114,CMM10115,CMM10116,CMM10118,CMM10119,CMM10120,CMM10122,CMM10123,CMM10124,CNT10102,CNT10103,CNT10104,CNT10106,CNT10107,CNT10108,CNT10110,CNT10111,CNT10112,CNT10114,CNT10115,CNT10116,CNT10118,CNT10119,CNT10120,CNT10122,CNT10123,CNT10124,CNT10126,CNT10127,CNT10128,MDM10102,MDM10103,MDM10104,MDM10106,MDM10107,MDM10108,MDM10110,MDM10111,MDM10112,MDM10114,MDM10115,MDM10116,MDM10118,MDM10119,MDM10120,MDM10122,MDM10123,MDM10124,MDM10126,MDM10127,MDM10128,PJM10102,PJM10103,PJM10104,PJM10106,PJM10107,PJM10108,PJM10110,PJM10111,PJM10112,PJM10114,PJM10115,PJM10116,PJM10118,PJM10119,PJM10120,PJM10122,PJM10123,PJM10124,IDP10102,IDP10103,IDP10105,IDP10106,IDP10107,IDP10109,IDP10110,IDP10111,IDP10113,IDP10114,IDP10115,IDP10117,IDP10118,IDP10119,IDP10121,IDP10122,IDP10123,IDP10125,IDP10126,IDP10127,FLO10102,FLO10103,FLO10104,FLO10106,FLO10107,FLO10108,FLO10110,FLO10111,FLO10112,FLO10114,FLO10115,FLO10116,FLO10118,FLO10119,FLO10120,FLO10122,FLO10123,FLO10124,BPT10102,BPT10103,BPT10104,BPT10106,BPT10107,BPT10108,BPT10110,BPT10111,BPT10112,BPT10114,BPT10115,BPT10116,BPT10118,BPT10119,BPT10120,BPT10122,BPT10123,BPT10124,BPT10126,BPT10127,BPT10128,TCH10102,TCH10103,TCH10104,TCH10106,TCH10107,TCH10108,TCH10110,TCH10111,TCH10112,TCH10114,TCH10115,TCH10116,TCH10118,TCH10119,TCH10120,TCH10122,TCH10123,TCH10124,TCH10126,TCH10127,TCH10128,SYA10102,SYA10103,SYA10104,SYA10105,SYA10107,SYA10108,SYA10109,SYA10110,SYA10112,SYA10113,SYA10114,SYA10115,SYA10117,SYA10118,SYA10119,SYA10121,SYA10122,SYA10123,SYA10125,SYA10126,SYA10127,SYA10129,SYA10130,SYA10131,DLY10102,DLY10103,DLY10104,DLY10105,DLY10107,DLY10108,DLY10109,DLY10110,DLY10112,DLY10113,DLY10114,DLY10115,DLY10117,DLY10118,DLY10119,DLY10120,DLY10122,DLY10123,DLY10124,DLY10125,DLY10127,DLY10128,DLY10129,DLY10130,DLY10132,DLY10133,DLY10134,DLY10135
68,97,94,59,59,71,58,40,72,31,48,68,38,85,54,82,79,92,41,77,64,65,45,76,46,65,71,66,42,52,34,35,86,83,87,30,33,83,95,87,32,55,59,88,58,64,82,34,57,76,47,77,98,88,60,77,90,65,59,57,59,61,51,42,98,94,54,62,70,73,88,31,44,86,88,51,89,88,30,30,58,38,89,50,33,78,59,81,79,83,87,60,97,40,65,49,47,51,89,40,76,40,46,54,86,74,36,84,50,35,65,66,71,61,50,75,65,32,54,97,65,86,72,76,75,70,96,95,69,56,47,78,96,62,76,73,40,96,94,93,79,51,84,98,78,48,93,76,50,89,52,75,40,52,87,93,44,83,55,81,65,54,85,68,31,50,40,58,46,31,71,45,73,72,57,37,78,49,72,45,83,43,95,85,31,78,54,47,91,70,52,37,83,84,45,31,63,76,49,89,94,93,82,40,42,48,32,68,85,54,49,56,51,63,55,44,77,40,90,58,90,93,88,50,44,96,31,55,43,41,50,66,79,54,43,96,64,42,84,88,86,30,69,47,44,86,53,84,92,87,97,52,75,90,68,89,75,57,85,48,82,32,33,76,87,40,55,66,91,89,85,45,71,87,31,42,37,54,84,60,58,47,57,61,63,93,66,34
41,61,81,40,63,61,52,50,70,60,40,50,54,41,71,51,39,50,78,44,44,88,53,45,40,42,30,43,56,81,77,55,62,66,50,91,58,37,52,52,89,81,85,50,59,46,40,76,75,86,87,90,53,37,92,50,31,33,47,32,73,93,92,63,97,49,78,52,67,80,46,52,57,45,68,95,43,96,47,52,70,45,52,49,77,68,75,36,52,57,32,89,60,63,52,75,88,61,32,86,67,52,66,59,88,64,97,56,40,53,94,73,79,86,43,74,84,35,67,82,79,94,84,98,52,88,48,79,66,40,95,94,76,67,53,70,51,47,41,95,48,46,71,51,98,60,58,75,75,42,57,72,46,78,67,88,43,97,98,88,74,37,51,82,82,63,31,38,46,43,88,62,56,67,50,71,95,86,41,31,35,91,71,73,52,58,47,98,90,94,85,30,88,87,75,53,95,76,42,52,87,30,62,92,46,62,58,67,73,75,58,31,70,77,71,81,64,46,31,57,88,87,83,54,74,69,73,52,73,61,45,32,74,70,30,97,39,63,90,51,78,93,57,57,54,68,83,68,47,91,47,50,62,57,45,70,33,73,57,91,93,86,74,47,75,43,38,83,84,79,47,78,39,74,47,32,53,80,70,95,88,53,85,96,92,71,92,83
42,53,82,88,80,90,80,81,34,87,68,66,91,45,96,50,67,49,93,41,43,30,60,88,57,83,43,47,83,71,73,85,31,37,75,49,87,75,47,89,58,72,39,63,98,62,53,58,36,90,87,49,76,54,97,74,91,49,79,89,98,83,56,75,96,73,66,91,51,91,55,33,43,81,37,79,93,94,97,36,84,81,86,92,74,52,91,92,78,45,50,82,78,76,65,30,62,76,67,62,90,33,69,59,34,71,92,98,50,37,66,30,56,47,65,30,82,63,44,78,84,91,42,96,42,62,88,80,48,58,58,83,89,97,59,57,58,89,90,73,57,96,63,71,39,89,45,74,54,44,67,80,86,57,47,36,30,52,42,51,97,63,40,44,38,39,56,81,87,85,61,81,80,38,89,92,82,56,75,69,63,48,40,41,60,32,60,73,71,92,74,98,88,62,34,69,67,60,33,33,89,44,77,86,53,56,98,44,60,71,80,82,61,57,58,38,72,30,46,87,80,72,30,40,54,32,34,50,41,30,57,37,95,41,58,53,43,73,67,49,91,61,60,91,98,48,33,85,60,79,61,31,80,42,81,54,73,65,78,44,37,47,43,50,50,98,40,35,85,75,39,50,53,50,64,76,52,72,90,68,70,81,95,89,67,52,76,65
41,93,95,50,85,30,36,37,88,80,52,53,93,30,85,68,65,60,95,39,55,76,30,85,93,70,36,55,56,50,92,41,87,68,89,79,82,60,72,88,46,42,37,89,96,77,59,88,67,77,61,81,86,40,98,37,98,66,81,76,79,35,73,71,77,84,74,87,44,61,86,54,91,74,65,37,65,46,59,49,75,88,44,53,64,74,96,78,83,51,38,45,75,34,79,65,89,71,60,73,63,78,37,84,63,82,72,61,55,90,40,54,35,73,43,80,81,37,35,50,36,48,75,75,37,53,49,50,40,93,90,48,62,65,78,51,54,88,49,74,39,54,34,92,94,76,41,54,92,72,74,84,57,70,67,32,98,40,69,68,55,80,67,62,70,62,93,48,91,64,88,54,59,47,53,35,93,65,30,98,42,43,62,33,78,73,60,62,50,54,62,31,76,71,47,74,50,36,47,48,64,49,77,47,92,84,53,75,70,89,67,73,84,48,73,52,84,32,35,98,95,62,89,98,90,71,89,68,62,57,81,38,77,42,48,34,59,45,75,45,55,55,82,85,89,59,96,83,37,90,83,92,32,46,93,67,54,59,91,34,44,92,67,69,45,78,83,51,62,48,60,46,65,98,54,71,96,88,97,71,66,54,59,64,72,67,52,93
47,31,51,32,83,55,94,45,39,69,48,40,94,43,71,70,32,91,82,37,86,63,79,60,58,53,51,45,60,32,30,67,66,41,49,75,65,50,59,61,53,77,71,60,55,51,30,32,83,78,42,64,72,78,76,73,56,40,81,97,93,67,35,85,90,36,92,57,83,89,93,74,69,64,76,38,85,50,84,96,42,33,47,30,81,78,74,41,71,65,71,32,66,81,30,68,41,52,95,38,71,38,68,67,79,68,79,65,51,72,44,79,36,79,75,32,31,62,68,86,39,84,71,98,69,61,72,68,64,96,49,86,49,48,58,41,35,79,44,53,45,65,84,75,55,34,81,48,67,78,93,41,87,74,33,66,60,86,91,94,72,90,49,76,68,30,42,96,74,60,95,60,82,95,71,81,38,95,70,32,30,39,62,76,61,82,76,73,54,57,67,72,91,32,76,98,66,34,98,53,52,39,70,59,65,37,68,82,33,31,44,39,98,83,72,74,82,39,49,97,83,58,34,30,54,76,50,30,85,43,67,70,86,63,88,34,49,64,76,37,46,85,55,32,46,72,33,63,59,82,77,57,58,50,92,61,93,96,80,45,64,93,49,30,88,84,73,84,89,68,45,54,70,98,67,72,60,36,67,96,66,88,55,55,86,90,72,49
63,32,62,77,98,34,69,82,90,37,62,48,92,91,37,56,89,67,67,32,48,50,44,68,48,52,67,93,91,77,40,85,79,31,80,84,42,75,35,87,82,97,47,62,72,66,35,94,68,92,52,52,86,76,55,50,83,44,81,94,57,71,86,39,59,94,67,66,74,32,78,79,34,44,82,63,87,52,84,92,84,32,33,86,92,62,92,75,87,80,31,80,61,37,81,76,62,56,52,58,69,97,77,67,76,40,77,84,89,71,36,72,90,59,59,43,65,54,40,66,31,60,40,37,30,36,75,34,74,69,67,98,73,97,89,81,34,63,64,33,48,70,90,88,42,57,92,49,62,58,96,84,64,72,53,82,50,88,76,50,43,73,63,69,36,35,45,95,74,59,54,32,33,44,87,81,32,92,81,31,74,67,45,34,77,47,83,79,95,80,96,42,89,98,40,37,66,69,81,89,37,73,37,70,53,83,77,57,57,64,32,41,64,34,51,46,48,31,39,86,87,66,94,40,32,67,51,73,80,42,96,33,57,79,48,38,82,50,43,95,58,73,79,92,53,69,55,98,58,61,86,89,41,96,43,35,37,33,78,34,48,44,30,61,46,47,40,93,54,88,42,88,46,56,77,55,84,37,60,57,51,83,34,69,92,93,37,47
39,90,56,34,32,89,52,65,64,87,68,59,64,61,62,85,72,53,71,30,36,68,90,79,64,98,86,69,53,54,42,82,56,64,62,76,93,82,66,36,81,72,87,47,38,86,80,34,62,96,94,47,75,90,85,38,88,43,45,41,30,86,44,43,43,71,78,98,31,46,83,65,61,96,86,42,69,56,77,34,78,39,52,93,75,87,45,41,64,71,48,65,61,63,64,68,48,43,96,44,63,30,50,82,54,57,40,87,62,86,71,82,55,61,50,46,82,69,58,36,96,52,44,61,46,71,91,36,97,95,43,97,76,50,37,45,71,72,85,42,55,36,71,59,31,41,48,41,85,97,69,63,54,64,47,38,31,52,42,81,45,42,98,61,80,60,38,90,58,90,88,73,87,92,37,47,66,47,70,68,89,39,64,45,96,59,65,43,38,61,94,76,94,67,67,60,63,39,37,39,75,67,95,95,34,49,30,62,45,74,55,49,75,90,87,60,61,40,48,30,79,55,42,90,94,52,71,33,70,80,94,97,39,94,35,70,56,57,33,43,46,50,52,33,51,41,40,58,70,55,96,60,37,51,79,52,74,57,87,52,30,78,92,49,62,67,55,73,73,49,32,88,48,65,77,40,67,78,33,66,84,57,47,77,79,74,44,91
86,95,58,71,85,65,76,51,75,70,70,35,92,85,81,87,95,94,55,91,90,77,89,43,62,40,57,65,62,96,71,41,38,50,78,39,88,37,93,54,39,89,70,98,41,74,59,62,93,46,92,31,53,62,55,69,45,39,55,86,76,62,44,80,42,97,96,56,64,59,96,56,47,64,39,79,63,33,64,52,91,88,31,68,30,94,68,37,38,35,68,92,75,85,39,79,31,60,74,76,45,96,96,93,34,95,70,68,50,65,42,55,42,43,77,66,57,98,37,94,87,82,91,32,36,51,94,59,80,50,88,31,44,89,37,53,89,64,68,33,72,36,77,73,70,50,40,48,52,88,37,95,31,77,75,61,30,71,95,85,47,30,43,62,70,76,37,34,97,51,95,44,30,65,34,64,53,92,79,90,33,90,67,36,84,37,36,49,78,85,68,71,37,38,69,77,68,65,33,32,78,43,57,51,31,60,44,69,39,41,46,54,31,52,54,66,82,64,41,63,60,94,51,67,42,45,60,49,74,84,35,92,80,69,53,42,53,35,91,57,62,79,35,68,37,97,50,35,75,74,63,45,44,89,55,32,65,49,98,47,64,36,44,30,65,53,88,84,91,38,91,64,71,76,61,48,64,49,51,63,45,58,64,91,74,60,78,40
42,97,62,38,97,56,41,88,67,82,78,94,53,89,59,44,41,40,90,82,66,97,46,68,47,78,37,52,61,35,32,57,94,63,77,83,73,84,42,35,31,35,68,61,63,59,33,63,68,67,76,71,38,30,58,39,96,36,60,67,89,97,97,47,41,54,62,92,85,42,68,51,76,74,63,69,95,79,63,56,30,41,47,67,89,70,68,52,47,98,43,57,83,91,76,34,98,71,55,70,46,47,90,85,71,87,55,54,77,77,36,57,30,31,59,39,85,66,35,49,47,34,88,82,51,63,76,75,32,65,69,74,33,96,66,87,93,81,62,45,58,72,61,55,58,49,59,35,75,75,61,57,59,56,67,95,52,95,61,92,73,32,33,32,51,52,38,93,57,47,40,90,44,36,47,65,91,36,78,35,80,60,34,74,63,32,35,97,71,34,55,57,44,92,97,94,78,96,77,62,47,73,95,89,87,61,95,80,44,84,47,92,71,68,74,59,63,78,48,55,78,88,65,69,34,46,92,90,30,38,80,83,84,78,95,53,55,35,80,84,81,88,45,67,41,35,56,50,75,85,47,94,67,82,77,81,85,91,70,81,39,31,75,78,39,43,58,30,59,88,43,64,78,95,97,41,73,98,67,89,76,47,74,74,50,97,61,48
53,86,91,93,78,85,75,46,39,95,77,83,47,78,43,49,92,53,74,94,39,89,34,86,31,85,87,78,98,53,42,39,70,48,61,55,94,90,35,46,63,88,60,87,93,69,59,94,68,65,92,56,41,96,33,79,82,41,68,40,89,66,47,38,85,44,94,81,33,33,39,87,43,58,68,91,50,91,79,93,85,97,54,92,47,72,96,78,75,93,73,96,34,79,54,74,56,43,43,93,81,48,69,36,42,50,42,91,59,72,36,85,67,76,30,42,78,34,38,95,55,74,38,31,89,67,92,62,51,88,74,66,64,36,40,48,87,63,35,59,90,37,74,65,75,54,96,57,67,66,91,31,31,73,89,98,74,71,47,59,37,43,45,97,87,43,79,85,55,31,36,60,85,39,51,41,94,62,31,37,55,30,39,81,74,54,54,75,44,83,85,88,38,69,56,41,35,56,58,54,59,90,71,89,52,56,49,50,91,61,70,66,93,61,32,66,97,46,38,93,37,96,36,44,79,46,50,95,33,41,92,60,97,97,70,62,61,50,40,63,36,60,67,62,89,58,91,93,85,66,42,95,37,40,30,75,72,50,68,93,63,77,78,56,88,55,57,41,34,70,45,60,48,98,78,81,47,57,65,55,36,55,50,53,46,54,83,47
